Key	Item Type	Publication Year	Author	Title	DOI	Publication Title	ISBN	ISSN		Url	Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Series	Publisher	Place	Language	Rights	Library Catalog	Extra	File Attachments	Manual Tags	Automatic Tags	Series Editor
7RI36ZY5	journalArticle	1975	Curds, C. R.	A guide to the species of the genus Euplotes (Hypotrichida, Ciliatea)		Bulletin of the British Museum (Natural History) Zoology				https://biostor.org/reference/11910	1975	1-61			28							biostor.org					
M6RM26CR	journalArticle	2017	Vďačný, Peter; Foissner, Wilhelm	A huge diversity of metopids (Ciliophora, Armophorea) in soil from the Murray River floodplain, Australia. I. Description of five new species and redescription of Metopus setosus Kahl, 1927	10.1016/j.ejop.2016.12.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2016.12.001	2017-04	35-76			58								Publisher: Elsevier BV		Taxonomy; Morphology; Metopidae; Morphometry; Oral area patterns; Soil ciliates		
XHRUUDW6	journalArticle	2012	Lipscomb, Diana L; Bowditch, Brunella M; Riordan, Gavin P	A molecular and ultrastructural description of Spathidiopsis buddenbrocki and the phylogenetic position of the family Placidae (Ciliophora)	10.1111/j.1550-7408.2011.00595.x	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/j.1550-7408.2011.00595.x	2012-01	67-79		1	59								Publisher: Wiley				
GYNRP238	journalArticle	2013	Shao, Chen; Pan, Xuming; Jiang, Jiamei; Ma, Honggang; Al-Rasheid, Khaled A S; Warren, Alan; Lin, Xiaofeng	A redescription of the oxytrichid Tetmemena pustulata (Müller, 1786) Eigner, 1999 and notes on morphogenesis in the marine urostylid Metaurostylopsis salina Lei et al., 2005 (Ciliophora, Hypotrichia)	10.1016/j.ejop.2012.07.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2012.07.003	2013-05	272-282		2	49								Publisher: Elsevier BV				
GKL3HV4I	journalArticle	2010	Bourland, William A; Strüder-Kypke, Michaela C	Agolohymena aspidocauda nov. gen., nov. spec., a histophagous freshwater tetrahymenid ciliate in the family Deltopylidae (Ciliophora, Hymenostomatia), from Idaho (northwest USA): morphology, ontogenesis and molecular phylogeny	10.1016/j.ejop.2010.04.003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2010.04.003	2010-08	221-242		3	46								Publisher: Elsevier BV				
K3QBC8GH	journalArticle	2011	Küppers, Gabriela Cristina; Paiva, Thiago da Silva; Borges, Bárbara do Nascimento; Harada, Maria Lúcia; Garraza, Gabriela González; Mataloni, Gabriela	An Antarctic hypotrichous ciliate, Parasterkiella thompsoni (Foissner) nov. gen., nov. comb., recorded in Argentinean peat-bogs: morphology, morphogenesis, and molecular phylogeny	10.1016/j.ejop.2011.01.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2011.01.002	2011-05	103-123		2	47								Publisher: Elsevier BV				
YIVUWPTU	journalArticle	2020	Dong, Jingyi; Chen, Xumiao; Liu, Yongqiang; Ni, Bing; Fan, Xinpeng; Li, Lifang; Warren, Alan	An integrative investigation of Parabistichella variabilis (protista, Ciliophora, Hypotrichia) including its general morphology, ultrastructure, ontogenesis, and molecular phylogeny	10.1111/jeu.12809	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12809	2020-09	566-582		5	67								Publisher: Wiley		taxonomic assignment; Buccal seal; contractile vacuole pore; extrusomes; pharyngeal disks		
3RHW2UMB	journalArticle	2021	Foo, Sze Hui; Taylor, Kristian H; Messing, Charles G; Rouse, Gregory W; Tay, Teresa Stephanie; Tan, Koh Siang; Huang, Danwei	Assessing the taxonomy of Heterometra-like feather stars (Echinodermata: Crinoidea: Himerometroidea) based on morphology and molecular data	10.1080/14772000.2021.1902418	System. Biodivers.		1477-2000		http://dx.doi.org/10.1080/14772000.2021.1902418	2021-10-03	632-647		7	19								Publisher: Informa UK Limited				
L8JA7KQD	journalArticle	2021	Abraham, Jeeva Susan; Somasundaram, Sripoorna; Maurya, Swati; Gupta, Renu; Makhija, Seema; Toteja, Ravi	Characterization of <i>Euplotes lynni</i> nov. spec., <i>E. indica</i> nov. spec. and description of <i>E. aediculatus</i> and <i>E. woodruffi</i> (Ciliophora, Euplotidae) using an integrative approach	10.1016/j.ejop.2021.125779	European Journal of Protistology		0932-4739		https://www.sciencedirect.com/science/article/pii/S0932473921000146	2021-06-01	125779			79							ScienceDirect		/home/lentendug/Zotero/storage/N9A5CL3X/S0932473921000146.html		COI gene; India; ITS region; Morphology; Phylogeny; SSU rRNA gene	
58EDQJ58	book	1993	Foissner, Wilhelm	Colpodea (Ciliophora)			978-1-56081-351-4				1993		824		4/1:i-x, 1-798.		Protozoenfauna	Fischer Verlag		en		Google Books	Google-Books-ID: hZjwAAAAMAAJ			Ciliata; Science / Life Sciences / Biology / Microbiology; Colpodea; Colpoda; Science / Life Sciences / Bacteriology	
NU7KCI4K	journalArticle	1966	Diller, W. F.	Correlation of ciliary and nuclear development in the life cycle of Euplotes	10.1111/j.1550-7408.1966.tb01868.x	The Journal of Protozoology		0022-3921			1966-02	43-54		1	13					eng		PubMed	PMID: 4957998			Cell Division; Cell Nucleus; Cilia; Ciliophora; Cytoplasm	
AGHU64IJ	journalArticle	2019	Nitla, Venkatamahesh; Serra, Valentina; Fokin, Sergei I; Modeo, Letizia; Verni, Franco; Sandeep, Bhagavatula Venkata; Kalavati, Chaganti; Petroni, Giulio	Critical revision of the family Plagiopylidae (Ciliophora: Plagiopylea), including the description of two novel species, Plagiopyla ramani and Plagiopyla narasimhamurtii, and redescription of Plagiopyla nasuta Stein, 1860 from India	10.1093/zoolinnean/zly041	Zool. J. Linn. Soc.		0024-4082		http://dx.doi.org/10.1093/zoolinnean/zly041	2019-04-22	1-45		1	186								Publisher: Oxford University Press (OUP)				
ZWZBA48N	journalArticle	2018	Rataj, Matej; Vďačný, Peter	Dawn of astome ciliates in light of morphology and time-calibrated phylogeny of Haptophrya planariarum, an obligate endosymbiont of freshwater turbellarians	10.1016/j.ejop.2018.03.004	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2018.03.004	2018-06	54-71			64								Publisher: Elsevier BV				
ADCBQMCJ	journalArticle	2013	Foissner, Wilhelm	Description of Glaucomides bromelicola n. gen., n. sp. (Ciliophora, Tetrahymenida), a macrostome forming inhabitant of bromeliads (Bromeliaceae), including redescriptions of Glaucoma scintillans and G. reniformis	10.1111/jeu.12016	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12016	2013-03	137-157		2	60								Publisher: Wiley				
9FEI4DT4	journalArticle	2012	Omar, Atef; Foissner, Wilhelm	Description of Leptopharynx brasiliensis nov. spec. and Leptopharynx costatus gonohymen nov. subspec. (Ciliophora, Microthoracida)	10.1016/j.ejop.2011.07.002	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2011.07.002	2012-01	30-47		1	48								Publisher: Elsevier BV				
D9EQZ8G4	journalArticle	2016	Fotedar, Rashmi; Stoeck, Thorsten; Filker, Sabine; Fell, Jack W; Agatha, Sabine; Al Marri, Masoud; Jiang, Jiamei	Description of the Halophile Euplotes qatarensis nov. spec. (Ciliophora, Spirotrichea, Euplotida) Isolated from the Hypersaline Khor Al-Adaid Lagoon in Qatar	10.1111/jeu.12305	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12305	2016-09	578-590		5	63								Publisher: Wiley				
5NMFF2P4	journalArticle	2020	Bourland, William; Rotterová, Johana; Čepička, Ivan	Description of Three New Genera of Metopidae (Metopida, Ciliophora): Pileometopus gen. nov., Castula gen. nov., and Longitaenia gen. nov., with Notes on the Phylogeny and Cryptic Diversity of Metopid Ciliates	10.1016/j.protis.2020.125740	Protist		1434-4610		http://dx.doi.org/10.1016/j.protis.2020.125740	2020-07	125740		3	171								Publisher: Elsevier BV		phylogeny; biogeography; 18S rRNA gene.; anaerobic ciliates; Armophorea; protargol impregnation		
DJKSD2GJ	journalArticle	2017	Li, Song; Bourland, William A; Al-Farraj, Saleh A; Li, Lifang; Hu, Xiaozhong	Description of two species of caenomorphid ciliates (Ciliophora, Armophorea): Morphology and molecular phylogeny	10.1016/j.ejop.2017.08.001	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2017.08.001	2017-10	29-40			61								Publisher: Elsevier BV				
QYJYAW2F	journalArticle	2017	Kumar, Santosh; Bharti, Daizy; Shazib, Shahed Uddin Ahmed; Shin, Mann Kyoon	Discovery of a new hypotrich ciliate from petroleum contaminated soil	10.1371/journal.pone.0178657	PLoS One		1932-6203		http://dx.doi.org/10.1371/journal.pone.0178657	2017-06-01	e0178657		6	12								Publisher: Public Library of Science (PLoS)				
9C7LY2TH	journalArticle	2021	Cedrola, Franciane; Senra, Marcus Vinicius Xavier; Faulhaber, Francisco Romero; D'Agosto, Marta; Dias, Roberto Júnio Pedroso	Disentangling the family Blepharocorythidae (Ciliophora, Entodiniomorphida): a molecular assessment of morphological classification		System. Biodivers.					2021-07	426–437		5	19					en			Publisher: Informa UK Limited				
79ACBEWB	journalArticle	2003	Foissner, Wilhelm; Strüder-Kypke, Michaela; van der Staay, Georg W.M.; Moon-van der Staay, Seung-Yeo; Hackstein, Johannes H.P.	Endemic ciliates (Protozoa, Ciliophora) from tank bromeliads (Bromeliaceae): a combined morphological, molecular, and ecological study	10.1078/0932-4739-00005	European Journal of Protistology		9324739		http://linkinghub.elsevier.com/retrieve/pii/S093247390470111X	2003-01	365-372		4	39					en		CrossRef		/home/lentendug/Desktop/biblio/Foissner_EJProt_2003.pdf			
FR3S9XJP	journalArticle	1974	Curds, Colin Robert; Curds, Colin Robert; West, B. Jean; Dorahy, Jean E.	Euplotes rariseta sp.n. (Protozoa Ciliatea), a new small marine hypotrich	10.5962/bhl.part.22974	Bulletin of the British Museum (Natural History) Zoology				https://www.biodiversitylibrary.org/part/22974	1974	95--102			27									/home/lentendug/Zotero/storage/HMRKR43B/22974.html			
9L9Q9G6K	journalArticle	2020	Obert, Tomáš; Vďačný, Peter	Evolutionary origin and host range of Plagiotoma lumbrici (Ciliophora, Hypotrichia), an obligate gut symbiont of lumbricid earthworms	10.1111/jeu.12768	J. Eukaryot. Microbiol.		1066-5234		http://dx.doi.org/10.1111/jeu.12768	2020-03	176-189		2	67								Publisher: Wiley		ITS region; 18S and 28S rRNA genes; Dorsomarginalia; ITS2 secondary structure; Lumbricidae; Spirotrichea		
98CKTCUD	journalArticle		Foissner, Wilhelm	Faunistische und taxonomische Notizen über die Protozoen des Fuscher Tales (Salzburg, Österreich)																de		Zotero		/home/lentendug/Zotero/storage/369WXWNG/Foissner - Faunistische und taxonomische Notizen über die Pro.pdf			
99FERGCJ	journalArticle	2023	Li, Ran; Zhuang, Wenbao; Feng, Xiaochen; Hines, Hunter N; Hu, Xiaozhong	First redescription and molecular phylogeny of Trimyema claviforme Kahl, 1933 with the description of a Chinese population of Plagiopyla nasuta Stein, 1860 (Ciliophora, Plagiopylea)	10.1016/j.ejop.2023.126003	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2023.126003	2023-08	126003		126003	90								Publisher: Elsevier BV		SSU rRNA gene; Taxonomy; Alveolata; Morphology; Anaerobe; Ciliature		
M7U8BUY5	journalArticle	2023	Lu, Borong; Hu, Xiaozhong; Warren, Alan; Song, Weibo; Yan, Ying	From oral structure to molecular evidence: new insights into the evolutionary phylogeny of the ciliate order Sessilida (Protista, Ciliophora), with the establishment of two new families and new contributions to the poorly studied family Vaginicolidae	10.1007/s11427-022-2268-2	Sci. China Life Sci.		1674-7305		http://dx.doi.org/10.1007/s11427-022-2268-2	2023-07	1535-1553		7	66								Publisher: Springer Science and Business Media LLC		protist; phylogeny; evolutionary hypotheses; new families; peritrich ciliates		
RE9TJ27S	journalArticle	2013	Yildiz, İsmai̇l; Şenler, Naci̇ye Gülkiz	Frontonia anatolica n. sp., a new peniculid ciliate (Protista, Ciliophora) from Lake Van, Turkey	10.3906/zoo-1203-33	Turk Zool. Derg.		1300-0179		http://dx.doi.org/10.3906/zoo-1203-33	2013-01-01												Publisher: The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS				
7AZ5S2TH	journalArticle	2016	Nguyen, Nhu H.; Song, Zewei; Bates, Scott T.; Branco, Sara; Tedersoo, Leho; Menke, Jon; Schilling, Jonathan S.; Kennedy, Peter G.	FUNGuild: An open annotation tool for parsing fungal community datasets by ecological guild	10.1016/j.funeco.2015.06.006	Fungal Ecology		1754-5048		http://www.sciencedirect.com/science/article/pii/S1754504815000847	2016-04	241-248			20							ScienceDirect	0	/home/lentendug/Zotero/storage/NDPGVS4J/Nguyen et al. - 2016 - FUNGuild An open annotation tool for parsing fung.pdf		Community ecology; Bioinformatics; Function; Guild; High-throughput sequencing; Trophic modes	
3WTZY8W3	journalArticle	2016	Foissner, Wilhelm	Heterometopus meisterfeldi nov. gen., nov. spec. (Protozoa, Ciliophora), a new metopid from Australia	10.1016/j.ejop.2015.11.005	Eur. J. Protistol.		0932-4739		http://dx.doi.org/10.1016/j.ejop.2015.11.005	2016-09	118-127		Pt B	55								Publisher: Elsevier BV		Biogeography; Morphology; Armophorea; Heterotricha; Metopidae; Pseudoblepharisma		
S6AMDCFS	journalArticle	2021	Liao, Wanying; Campello-Nunes, Pedro Henrique; Gammuto, Leandro; Abreu Viana, Tiago; de Oliveira Marchesini, Roberto; da Silva Paiva, Thiago; da Silva-Neto, Inácio Domingos; Modeo, Letizia; Petroni, Giulio	Incorporating mitogenome sequencing into integrative taxonomy: The multidisciplinary redescription of the ciliate Thuricola similis (Peritrichia, Vaginicolidae) provides new insights into the evolutionary relationships among Oligohymenophorea subclasses	10.1016/j.ympev.2021.107089	Mol. Phylogenet. Evol.		1055-7903		http://dx.doi.org/10.1016/j.ympev.2021.107089	2021-05	107089		107089	158								Publisher: Elsevier BV		Systematics; 18S rRNA gene; Phylogenomics; Mitochondrial genome; Next Generation Taxonomy; WWTP protists		
ZLHW8D38	journalArticle	2022	Li, Bailin; Song, Yumeng; Hao, Tingting; Wang, Li; Zheng, Weibin; Lyu, Zhao; Chen, Ying; Pan, Xuming	Insights into the phylogeny of the ciliate of class Colpodea based on multigene data	10.1002/ece3.9380	Ecol. Evol.		2045-7758		http://dx.doi.org/10.1002/ece3.9380	2022-10	e9380		10	12								Publisher: Wiley		ciliates; phylogeny; Colpoda; ITS1-5.8S- ITS2 rRNA gene; mtSSU-rRNA gene; SSU-rRNA gene		
L8KZEL39	journalArticle	2018		Integrative Studies on the Morphology, Morphogenesis and Molecular Phylogeny of a Soil Ciliate, Parakahliella macrostoma (Foissner, 1982) Berger et al., 1985 (Ciliophora, Hypotrichia)	10.4467/16890027ap.18.010.8984	Acta Protozool.		0065-1583		http://dx.doi.org/10.4467/16890027ap.18.010.8984	2018			2	57								Publisher: Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego				
WGEV5LXE	journalArticle	2019	Obert, Tomáš; Vďačný, Peter	Integrative taxonomy of five astome ciliates (Ciliophora, Astomatia) isolated from earthworms in Central Europe	10.5852/ejt.2019.559	Eur. J. Taxon.		2118-9773		http://dx.doi.org/10.5852/ejt.2019.559	2019-10-01			559									Publisher: Museum National D'Histoire Naturelle				
NRLS6MAI	journalArticle	2016	Vecchi, Matteo; Vicente, Filipe; Guidetti, Roberto; Bertolani, Roberto; Rebecchi, Lorena; Cesari, Michele	Interspecific relationships of tardigrades with bacteria, fungi and protozoans, with a focus on the phylogenetic position ofPyxidium tardigradum(Ciliophora)	10.1111/zoj.12446	Zool. J. Linn. Soc.		0024-4082		http://dx.doi.org/10.1111/zoj.12446	2016-12	846-855		4	178								Publisher: Oxford University Press (OUP)				
WI7RFP2N	journalArticle		Foissner, Wilhelm	Life Cycle, Morphology, Ontogenesis, and Phylogeny of Bromeliothrix metopoides nov. gen., nov. spec., a Peculiar Ciliate (Protista, Colpodea) from Tank Bromeliads (Bromeliaceae)																en		Zotero					
I38MTQZG	journalArticle	2006	Gächter, E; Weisse, T	Local adaptation among geographically distant clones of the cosmopolitan freshwater ciliate Meseres corlissi. I. Temperature response	10.3354/ame045291	Aquatic Microbial Ecology		0948-3055, 1616-1564		http://www.int-res.com/abstracts/ame/v45/n3/p291-300/	2006-12-21	291-300			45					en		DOI.org (Crossref)					
4P5C2TZK	journalArticle	2025	Pecina, Lukáš; Rurik, Ivan; Vďačný, Peter	Macroevolutionary trends and diversification dynamics in the hindgut order Clevelandellida (Ciliophora, Armophorea)	10.1111/zsc.12701	Zool. Scr.		0300-3256		http://dx.doi.org/10.1111/zsc.12701	2025-03	253-269		2	54								Publisher: Wiley				
